"StockName","FunFEM","Hclust","Kmeans","Dbscan"
"SPOT.Close",3,1,1,1
"NFLX.Close",3,1,1,1
"NVDA.Close",3,1,1,1
"META.Close",3,1,1,1
"AAPL.Close",2,1,2,1
"IBM.Close",1,2,2,1
"MSFT.Close",3,1,2,1
"GOOG.Close",4,1,2,1
"VOW3.DE.Close",5,2,3,1
"RACE.MI.Close",1,2,2,1
"STLAM.MI.Close",5,2,3,1
"RNO.PA.Close",5,3,3,1
"MBG.DE.Close",5,2,3,1
"BMW.DE.Close",5,2,3,1
"TSLA.Close",2,4,4,0
"TM.Close",1,1,2,1
"KER.PA.Close",1,2,3,1
"CPRI.Close",5,3,5,1
"RMS.PA.Close",3,1,2,1
"MC.PA.Close",1,2,3,1
"CFR.SW.Close",1,2,3,1
"ADS.DE.Close",1,2,3,1
"NKE.DE.Close",1,2,2,1
"PUM.DE.Close",3,2,2,1
"SAN.PA.Close",1,2,2,1
"NOVN.SW.Close",1,2,2,1
"BAYN.DE.Close",5,2,2,1
"AZN.Close",1,2,2,1
"UCB.BR.Close",3,1,2,1
"MRK.DE.Close",1,1,2,1
"ARGX.Close",2,1,2,1
"GSK.L.Close",1,2,2,1
"NESN.SW.Close",1,2,2,1
"UL.Close",1,2,2,1
"BN.PA.Close",1,2,2,1
"BON.PA.Close",3,2,2,1
"PEP.Close",1,2,2,1
"MCD.Close",1,2,2,1
"K.Close",1,2,2,1
"KHC.Close",1,2,2,1
"SHEL.Close",5,2,3,1
"ENI.MI.Close",5,2,3,1
"ENEL.MI.Close",4,1,2,1
"ENGI.PA.Close",5,2,3,1
"ORSTED.CO.Close",2,1,2,1
"CHV.F.Close",5,2,3,1
"REP.MC.Close",5,2,3,1
"TTE.PA.Close",5,2,3,1
"TRVG.Close",5,5,5,1
"BKNG.Close",5,2,3,1
"RYA.IR.Close",5,2,3,1
"LYFT.Close",5,5,5,1
"TCOM.Close",5,3,3,1
"TRIP.Close",5,5,5,1
"HLT.Close",5,2,3,1
"UBER.Close",2,1,2,1
"ZAL.DE.Close",3,1,1,1
"UPS.Close",4,1,2,1
"AMZN.Close",2,1,2,1
"DHL.DE.Close",3,2,3,1
"FDX.Close",2,2,3,1
"AMKBY.Close",5,2,3,1
"WMT.Close",1,2,2,1
"X002352.SZ.Close",4,1,2,1
